order_id,customer_id,product_id,order_date,amount,status,region
7e8f8095-624c-69b6-b244-45a7b7e58481,31c681ec-935f-2b0a-a138-4ddce2d9de5d,a7f36ae9-25c7-3c44-3e75-c3b4664fa663,2025-12-04,27.73,cancelled,LATAM
f53d4330-cdda-24ba-2d06-e8cf3805f907,6cd66193-c746-8f59-1b49-4e15e2add909,0cdb1ca4-76ec-bdd6-8498-e113b227462c,2025-12-21,1246.00,shipped,EU
986f9025-8f15-ba58-fce6-850487f8424d,aae65fc1-76f2-dbfe-cd29-a36f222282e1,e4347d51-c158-1092-f335-cba3513a7052,2026-01-05,3063.27,processing,EU
be6033f7-28be-9288-e5af-6e39722764e6,8c41561b-e827-a1b9-d4a0-2e536d3ee1dc,425a609f-7337-c599-7984-4388dc8aee30,2026-01-30,4199.32,delivered,LATAM
13d5f2f7-709b-7d97-464c-04af3d3f3799,a07295e9-7c0e-8cd8-8573-e793c715b2b9,458f1f19-3c07-c574-4925-7af1b6aae05b,2026-01-19,1598.55,delivered,US
36c59dac-b4d7-e28e-271e-3ee2b1a6b1f1,620e99d3-3b33-f3d8-269c-d696236c7b87,54b4a482-6858-6eba-6a34-c85410714d51,2025-12-23,2329.63,shipped,US
e7a37e81-63b4-c08b-6b8e-869fd5385b0e,,b20dcb6e-f231-1f17-9586-3a76c51155ff,2026-02-28,4283.66,cancelled,APAC
63d62a39-c0e3-befd-4c71-e0fe5a0cdd7c,f1578470-0182-67c4-7a1b-58066160a6b4,d5f25073-f414-02b1-e442-9ebbda7b9095,2026-01-08,2691.11,processing,EU
6f92f25e-45df-16b6-382c-043f7cfc9b79,3875394c-e5d6-f6e6-9a6e-c2f5ccc42903,560c95ee-638c-254c-076e-2bba7c5308bf,2025-12-07,3395.71,delivered,LATAM
eb67146a-77a6-e17c-d72b-61082a405f12,,88bc539c-9f4c-3b79-fb10-987f20ac3703,2026-02-27,4534.65,pending,APAC
7631de9d-dde9-f863-22bd-33886db99102,a48b3dbe-157d-94a1-06f0-28ffa9ba5a27,610cf373-4299-9aa4-0cdf-742b2e85cb21,2026-01-20,1058.31,delivered,EU
6bebac31-d4f8-fd72-f382-1cfdc083b73a,473bd358-610e-6a64-e130-1617c2dff335,78660765-14f7-ce8d-d5bc-b8d04094dded,2026-02-28,3745.12,shipped,EU
c1156d6d-0a4e-5b70-a6d9-64a3f510ab53,c7fee39f-1190-f938-a66f-d7f739669fa7,33094d35-3f4d-f561-f319-c12507f194f9,2026-02-28,3106.68,shipped,US
b31022f0-770c-7798-37cc-863bf2a03459,90604f62-1d48-a071-ab61-a7b1793b4c32,2af43ab7-5e6f-ea07-c453-6f1d41992fdf,2025-12-15,3036.24,cancelled,LATAM
9424aed5-1bac-5c15-4fa0-3f26f6f7f0cc,29ec8e49-d1bd-b8c0-c71d-5e601d5206ab,93676a02-4fdc-6e1b-edcb-8cb60692dc63,2025-12-06,4540.13,delivered,EU
a092f52a-d4a0-57a7-b0cc-1b3b9793b9b4,13748146-32c5-bd89-b70b-3420f1043785,c5c14eb4-b27b-3d90-1a16-342c3e2b6091,2026-01-23,4251.47,pending,US
6daa2e68-8861-fe18-58e2-58880a8381be,c85aca46-90e0-f4a0-fbdd-3933cbd58bf6,8186a576-11a7-2609-5edd-bbbfa9597663,2025-12-10,1706.16,delivered,EU
75b17a55-d426-2982-e43e-4288a2b5b498,5cb85aed-f5f6-2c97-6efb-63b11b049863,2d174fc9-6f7c-15ea-272a-6d8eb5122df8,2025-12-26,4827.37,shipped,APAC
d36357b6-6f81-cf4f-7701-f7bb7bc67e1f,c64ee6e3-89c5-b31a-eb6c-1016cee624d0,52828d80-44b5-91f7-97ac-6aa8bb2488a3,2026-01-30,4153.66,shipped,US
ab0e664e-9c3e-b2d5-91e1-aa9676f72255,c01f36bf-3e6d-d58b-7367-c28de1b294de,7e8adee7-0758-e201-561e-16d16105716b,2026-01-20,909.21,shipped,EU
